country,region,income_group,currency,population,primary_language,year,genai_adoption_rate_pct,enterprise_adoption_pct,consumer_adoption_pct,sme_adoption_pct,government_adoption_pct,llm_usage_pct,image_gen_usage_pct,code_gen_usage_pct,voice_ai_usage_pct,video_gen_usage_pct,gdp_contribution_bn_usd,productivity_gain_pct,job_displacement_pct,job_creation_pct,net_job_impact_pct,genai_startups_count,vc_investment_mn_usd,has_national_ai_strategy,regulation_stringency_score,data_privacy_score,copyright_clarity_score,deepfake_law_exists,ai_liability_framework_exists,mandatory_ai_disclosure_law,govt_genai_budget_mn_usd,ai_literacy_score,university_ai_programs_count,k12_ai_curriculum_exists,genai_workforce_pct,reskilling_programs_count,internet_penetration_pct,cloud_readiness_score,gpu_compute_per_1k_usd,avg_internet_speed_mbps,mobile_ai_penetration_pct,public_trust_score,ai_anxiety_index,misinformation_risk_index,deepfake_incidents_reported,genai_used_in_elections,public_debate_maturity_score,native_lang_llm_support,low_resource_language_country,digital_divide_index,gender_ai_gap_score,rural_urban_ai_gap_score,genai_papers_published,genai_patents_filed,intl_ai_collaboration_score,healthcare_genai_adoption_pct,education_genai_adoption_pct,finance_genai_adoption_pct,media_genai_adoption_pct,legal_genai_adoption_pct,agriculture_genai_adoption_pct,global_genai_index_score
Portugal,Europe,High income,EUR,10200000,Portuguese,2025,96.54,79.78,74.62,66.96,37.34,84.43,40.28,54.32,33.92,20.78,20.36,12.68,12.09,2.81,-9.28,20,85.21,1,62.58,68.62,48.53,1,1,1,27.98,60.31,2,1,15.4,1,43.96,51.15,10.082,222.4,70.07,43.02,56.32,70.39,3,0,52.26,1,1,51.98,17.21,17.12,23,12,61.01,73.87,66.96,66.63,63.17,29.7,28.4,22.87
Greece,Europe,High income,EUR,10600000,Greek,2022,55.69,40.35,38.06,26.64,11.58,43.51,25.19,17.62,26.64,24.17,13.28,11.8,2.66,2.54,-0.12,5,19.28,1,56.31,65.78,46.83,0,0,0,12.86,46.94,2,0,19.58,1,83.85,98.84,5.667,62.7,45.85,79.37,32.32,70.91,0,0,69.61,1,0,21.67,30.57,29.72,17,9,62.93,23.55,35.72,45.7,46.38,27.45,19.17,21.19
Greece,Europe,High income,EUR,10600000,Greek,2023,61.55,39.83,43.63,38.36,20.16,45.48,45.74,28.75,26.64,17.36,6.22,7.6,6.72,4.07,-2.66,22,61.15,1,46.03,63.94,32.67,0,0,0,1.37,58.44,0,1,16.64,0,95.09,58.67,2.834,198.4,51.63,74.91,19.2,79.73,4,0,70.77,1,0,10.89,22.16,30.79,8,3,56.75,29.23,38.59,49.49,38.58,26.82,14.67,18.15
Greece,Europe,High income,EUR,10600000,Greek,2024,73.91,43.42,60.44,37.9,37.04,59.61,39.33,40.27,41.49,17.52,18.19,7.03,4.23,3.89,-0.34,10,22.54,1,73.09,75.29,40.98,1,1,0,15.48,60.15,1,1,7.77,0,86.34,81.04,3.029,174.8,44.4,77.25,20.65,61.26,5,0,46.37,1,0,18.98,28.22,27.74,6,4,46.31,36.06,62.38,63.08,43.81,27.55,22.81,20.38
Greece,Europe,High income,EUR,10600000,Greek,2025,80.49,52.32,75.82,35.58,17.77,62.01,55.15,43.91,43.26,35.68,15.2,17.06,3.55,6.81,3.27,13,29.87,1,65.7,46.8,50.38,1,1,1,29.96,62.5,2,1,12.16,0,89.62,79.93,7.882,204.1,51.73,73.37,21.11,58.22,9,0,53.48,1,0,8.43,20.7,19.86,21,16,74.82,32.79,46.82,57.74,69.07,23.4,37.27,25.56
Czech Republic,Europe,High income,CZK,10900000,Czech,2022,72.49,43.66,66.24,39.69,29.4,57.4,51.87,22.46,31.18,23.71,18.71,12.22,6.57,3.55,-3.02,20,53.03,1,57.38,69.23,52.78,0,0,0,2.88,61.17,0,1,19.15,0,64.7,68.92,7.166,155.1,57.04,79.35,23.14,78.13,0,0,36.75,1,0,28.38,39.15,32.39,11,3,65.79,42.88,48.36,63.33,60.9,43.82,21.89,22.45
Czech Republic,Europe,High income,CZK,10900000,Czech,2023,77.21,58.85,68.58,32.26,19.78,69.25,32.98,34.17,37.38,11.77,10.37,10.35,7.62,5.77,-1.85,10,12.07,1,53.97,55.96,55.26,0,0,0,16.62,49.76,0,1,13.13,1,72.85,62.44,4.891,169.1,66.01,73.49,18.5,78.59,2,0,83.23,1,0,26.49,31.43,36.66,5,1,39.54,54.68,64.94,49.82,55.21,33.55,31.88,19.93
Czech Republic,Europe,High income,CZK,10900000,Czech,2024,90.95,60.3,79.97,61.29,18.26,84.0,50.07,48.52,24.33,24.04,28.67,18.17,8.01,4.65,-3.36,33,94.44,1,55.57,72.29,75.89,0,1,0,19.43,63.98,0,1,15.16,1,66.08,65.93,4.441,230.6,80.2,70.83,27.42,84.0,9,1,70.8,1,0,31.65,25.36,30.96,36,8,60.5,69.69,61.19,79.01,71.27,22.9,19.78,26.32
Czech Republic,Europe,High income,CZK,10900000,Czech,2025,99.0,60.29,73.04,49.49,30.47,71.5,57.71,56.47,35.53,37.81,27.73,12.73,9.16,2.3,-6.86,33,79.82,1,55.77,61.02,69.91,1,1,1,7.55,51.23,2,1,12.58,1,62.36,62.47,13.7,36.0,79.24,77.06,19.06,93.05,7,0,74.16,1,1,27.18,20.94,38.61,24,11,73.09,58.27,59.15,84.0,71.74,37.95,19.46,23.7
Romania,Europe,Upper-middle income,RON,19000000,Romanian,2022,43.35,34.29,41.13,29.18,11.01,33.96,27.0,17.36,16.93,19.44,17.63,7.47,4.61,1.83,-2.78,18,19.79,1,32.81,56.51,33.15,0,0,0,15.34,28.92,3,0,7.84,0,44.03,46.67,1.52,142.1,38.8,61.51,43.59,92.52,1,0,42.37,1,0,55.18,12.44,57.53,18,6,34.25,18.07,31.83,38.35,29.76,13.64,17.08,13.91
Romania,Europe,Upper-middle income,RON,19000000,Romanian,2023,55.4,34.35,48.53,28.94,19.5,39.85,34.0,29.92,22.07,19.77,16.76,5.19,4.85,4.68,-0.17,18,21.78,1,42.23,47.41,24.21,0,0,0,14.31,13.34,2,1,18.32,1,48.16,35.03,6.382,176.3,41.63,60.89,35.81,84.39,12,0,65.3,1,0,52.62,9.82,60.64,22,0,34.84,43.94,46.9,44.24,39.32,16.32,25.84,12.75
Romania,Europe,Upper-middle income,RON,19000000,Romanian,2024,52.12,34.91,49.2,22.78,27.92,39.67,24.06,25.42,20.43,9.83,20.91,4.62,5.54,2.56,-2.98,31,86.56,1,44.33,37.3,44.43,1,1,0,31.27,26.55,1,1,3.85,0,43.37,44.78,5.162,128.8,46.45,53.63,55.25,57.09,9,0,36.55,1,1,63.22,20.29,57.35,13,0,39.21,27.43,36.94,32.48,31.04,14.45,8.69,12.76
Romania,Europe,Upper-middle income,RON,19000000,Romanian,2025,62.53,35.29,45.62,40.21,29.24,46.16,34.97,34.35,19.58,28.83,34.67,8.53,4.85,3.22,-1.63,27,43.89,1,53.38,24.24,40.82,1,1,0,30.06,27.04,0,1,8.87,1,46.49,39.14,4.778,139.2,42.42,56.57,40.04,59.02,8,1,45.04,1,0,53.82,15.78,58.39,40,0,38.13,45.87,48.27,41.49,45.54,28.46,22.04,15.33
Hungary,Europe,High income,HUF,10000000,Hungarian,2022,74.6,52.93,66.77,36.68,32.34,54.29,44.07,30.85,20.03,37.01,8.94,8.91,7.09,3.87,-3.22,20,48.49,1,59.81,58.79,36.44,0,0,0,9.8,29.09,0,0,17.46,0,89.71,86.81,1.134,180.9,63.09,67.78,26.86,66.26,2,0,72.41,1,1,16.06,27.22,41.02,4,0,39.83,33.06,43.92,49.36,57.77,46.94,15.22,19.02
Hungary,Europe,High income,HUF,10000000,Hungarian,2023,79.36,47.43,64.13,36.64,26.4,70.19,41.28,29.44,40.59,18.95,8.24,16.56,5.15,5.2,0.05,15,61.17,1,57.42,55.1,43.98,0,0,0,3.42,31.9,1,0,19.2,0,95.79,85.12,1.927,231.8,67.47,63.58,36.43,77.87,2,0,81.31,1,0,0.0,23.05,23.63,15,7,61.66,54.17,55.66,66.49,54.35,41.96,16.73,23.52
Hungary,Europe,High income,HUF,10000000,Hungarian,2024,88.53,61.16,78.96,38.13,27.98,67.36,61.72,30.81,36.6,39.2,10.04,17.63,4.6,5.24,0.64,13,36.06,1,63.81,64.71,52.07,1,0,0,24.24,37.74,1,1,19.61,0,81.74,79.8,3.797,198.0,75.73,63.85,37.77,77.08,6,1,46.17,1,0,25.06,32.99,38.17,18,9,43.63,66.13,57.51,68.09,73.07,54.84,39.42,24.76
Hungary,Europe,High income,HUF,10000000,Hungarian,2025,99.0,64.56,80.55,53.66,28.61,86.55,65.09,35.06,52.76,47.07,31.9,21.73,11.14,7.97,-3.17,20,48.65,1,75.09,64.11,39.38,0,1,0,11.64,41.63,1,1,19.01,0,85.7,82.41,12.737,226.9,83.42,61.82,44.27,53.98,1,1,34.57,1,1,14.39,32.23,26.11,1,15,57.62,56.27,66.36,68.9,75.61,45.55,46.13,28.43
Ukraine,Europe,Lower-middle income,UAH,44000000,Ukrainian,2022,19.82,15.09,13.41,9.14,5.79,16.19,13.36,6.95,10.61,4.75,14.09,4.59,1.7,1.85,0.15,16,22.63,0,11.84,21.26,10.54,0,0,0,14.2,0.45,3,0,0.0,2,19.13,16.78,2.609,6.0,17.44,38.83,60.98,95.0,15,0,39.26,0,1,84.72,10.23,67.52,2,2,36.8,8.53,10.97,14.68,12.33,5.05,5.03,6.92
Ukraine,Europe,Lower-middle income,UAH,44000000,Ukrainian,2023,26.22,18.66,17.95,11.03,8.45,23.84,13.49,14.46,6.83,5.57,11.66,2.3,1.98,1.21,-0.77,28,26.76,0,21.75,18.16,26.23,0,0,0,19.77,13.75,3,0,7.39,0,21.02,31.42,3.383,1.0,22.85,38.17,60.2,94.78,30,0,15.18,1,1,75.47,12.45,79.83,30,7,17.39,19.8,20.59,20.74,21.13,12.02,11.84,6.83
Ukraine,Europe,Lower-middle income,UAH,44000000,Ukrainian,2024,23.69,17.06,18.09,16.42,12.42,18.57,14.06,8.62,6.92,3.83,21.61,4.34,1.94,1.22,-0.72,19,29.68,1,24.22,22.36,26.29,0,1,0,12.39,12.45,2,0,5.13,1,20.76,43.67,3.066,89.3,14.66,29.84,67.49,84.84,20,1,19.4,0,0,74.84,15.14,75.1,3,9,32.22,11.05,16.45,20.49,20.15,13.64,10.42,8.33
Ukraine,Europe,Lower-middle income,UAH,44000000,Ukrainian,2025,31.29,25.45,27.37,14.99,12.05,24.09,19.65,18.42,9.67,6.31,37.8,2.66,1.71,1.28,-0.44,18,16.62,1,26.74,25.57,20.86,1,1,0,31.15,0.0,4,0,3.96,0,18.16,5.0,4.606,74.7,27.47,32.52,66.28,87.92,5,1,40.85,0,0,79.76,3.19,61.84,42,20,16.98,24.33,17.45,24.74,20.44,16.8,5.84,6.37
Singapore,East Asia,High income,SGD,5900000,English,2022,54.45,30.25,45.79,32.53,22.35,39.38,37.63,18.07,23.34,19.98,6.8,8.63,2.78,5.12,2.34,8,13.41,1,61.66,61.01,50.27,0,0,0,2.29,49.33,0,0,18.12,1,59.91,70.27,1.835,246.7,48.65,73.02,37.66,81.63,0,0,69.84,0,1,45.41,38.37,43.06,9,1,53.8,35.02,43.63,40.96,39.83,18.91,15.6,18.56
Singapore,East Asia,High income,SGD,5900000,English,2023,59.38,47.78,42.53,31.05,16.14,49.18,34.98,33.74,15.11,28.21,9.28,8.25,4.1,4.59,0.49,9,8.74,1,51.71,79.12,62.99,0,0,0,0.85,28.76,0,0,17.2,0,58.97,57.32,5.126,176.5,48.56,68.23,29.98,71.19,2,0,75.17,1,0,35.39,34.69,22.57,9,5,81.0,35.09,32.77,44.31,40.92,36.62,12.16,18.22
Singapore,East Asia,High income,SGD,5900000,English,2024,71.11,56.76,51.63,45.17,23.21,52.6,32.15,28.87,41.97,22.13,10.49,8.34,7.66,2.01,-5.65,13,22.93,1,52.96,65.56,32.33,1,0,0,5.7,33.57,0,1,13.04,0,66.4,55.92,5.112,203.1,56.82,71.15,22.62,74.66,4,1,46.37,1,0,28.99,20.3,29.9,1,7,54.48,48.16,45.92,58.83,41.33,45.81,32.06,18.26
Singapore,East Asia,High income,SGD,5900000,English,2025,79.29,50.18,62.43,35.69,41.48,72.18,43.29,46.33,38.76,20.84,10.39,10.97,4.3,6.6,2.29,15,50.48,1,71.92,61.32,52.44,1,1,1,9.5,32.07,0,1,15.65,0,69.83,57.28,12.372,160.5,60.36,66.28,32.54,59.8,2,0,67.85,1,1,21.21,36.07,21.16,13,1,68.0,45.42,57.99,48.01,50.71,22.47,14.93,20.93
Malaysia,East Asia,Upper-middle income,MYR,33000000,Malay,2022,40.34,29.61,26.83,24.93,10.42,36.29,17.38,22.76,18.42,13.79,20.82,6.99,3.63,1.95,-1.68,21,41.22,1,34.41,56.28,24.07,0,0,0,5.42,35.35,4,0,9.0,2,25.85,27.67,1.051,123.9,30.42,62.73,37.35,71.79,11,0,37.0,0,1,66.99,13.6,42.14,25,15,27.59,22.96,25.37,29.98,29.11,23.3,17.95,13.15
Malaysia,East Asia,Upper-middle income,MYR,33000000,Malay,2023,41.27,34.08,33.98,21.14,17.7,32.04,30.65,14.61,13.41,6.48,32.51,6.8,1.74,1.51,-0.23,14,31.71,1,32.41,37.02,67.78,0,0,0,22.3,15.1,3,0,10.95,1,24.57,16.67,2.844,74.3,34.67,56.9,38.73,80.12,3,0,31.6,0,1,77.94,11.48,47.5,15,1,21.89,18.45,33.27,36.47,31.77,16.09,10.52,11.21
Malaysia,East Asia,Upper-middle income,MYR,33000000,Malay,2024,49.85,40.67,41.77,22.86,25.31,35.15,28.89,25.27,16.37,16.49,17.47,9.98,3.84,3.73,-0.12,12,30.61,1,27.81,25.62,13.65,0,1,0,49.42,31.16,5,1,11.83,4,26.13,21.59,2.363,112.5,43.92,57.9,41.49,87.86,3,1,30.82,1,1,70.56,28.13,53.23,5,5,26.17,27.25,39.5,33.85,32.59,19.31,10.05,13.77
Malaysia,East Asia,Upper-middle income,MYR,33000000,Malay,2025,53.8,38.97,48.49,22.06,16.26,38.53,25.59,23.72,31.89,10.74,47.47,8.48,5.41,3.53,-1.88,44,42.13,1,47.31,45.27,19.77,0,1,0,46.25,34.69,0,0,14.39,3,26.98,13.36,7.862,7.7,35.57,61.49,27.44,79.8,26,1,42.95,1,1,67.38,20.92,51.3,24,20,34.03,29.75,29.58,42.09,45.17,28.65,15.79,14.72
Indonesia,East Asia,Lower-middle income,IDR,275000000,Indonesian,2022,16.72,12.97,13.5,10.37,8.23,15.87,8.83,5.53,7.95,3.05,54.0,2.97,1.88,0.9,-0.98,32,20.22,0,27.12,42.8,19.65,0,0,0,85.63,14.73,5,0,2.66,8,5.0,5.0,2.624,29.8,14.88,24.24,56.18,80.22,46,0,28.66,0,0,95.0,18.37,88.92,111,16,15.6,9.63,11.51,11.27,12.76,9.86,2.8,6.37
Indonesia,East Asia,Lower-middle income,IDR,275000000,Indonesian,2023,18.92,10.77,17.26,10.6,8.98,15.92,13.11,8.6,9.36,3.38,99.59,2.1,1.28,1.45,0.17,170,122.48,0,26.92,30.19,0.0,0,0,0,181.8,0.0,2,0,6.77,14,5.0,11.07,3.391,3.9,13.45,27.73,72.49,83.59,42,0,19.19,0,1,93.9,1.65,65.75,209,47,12.54,7.63,13.97,14.34,13.15,10.95,3.25,5.35
Indonesia,East Asia,Lower-middle income,IDR,275000000,Indonesian,2024,18.44,11.07,17.51,8.31,9.48,14.69,8.36,6.81,9.5,6.29,64.11,3.33,1.97,0.83,-1.14,50,26.89,0,26.5,17.63,35.73,1,1,0,189.46,9.7,22,1,3.22,15,5.0,5.0,0.836,1.0,16.24,17.64,77.14,80.17,111,1,22.68,1,1,92.82,22.35,87.31,123,20,27.23,13.6,14.01,15.44,14.11,7.54,6.46,5.94
Indonesia,East Asia,Lower-middle income,IDR,275000000,Indonesian,2025,24.89,15.66,17.48,16.99,13.63,17.94,16.21,12.71,8.49,10.55,160.59,2.1,0.85,1.41,0.56,319,423.79,1,46.91,23.71,28.21,1,0,0,186.42,22.05,14,0,4.97,13,5.0,5.0,1.865,25.6,19.33,25.74,68.64,79.87,182,0,19.23,0,1,95.0,20.82,79.13,88,96,25.9,19.35,17.48,16.34,20.43,15.98,11.98,7.29
Thailand,East Asia,Upper-middle income,THB,70000000,Thai,2022,54.6,46.11,35.97,31.95,29.99,47.09,35.13,20.55,15.72,20.39,78.52,4.89,2.47,4.62,2.15,24,15.23,1,25.88,50.98,17.51,0,0,0,23.66,48.36,7,1,10.25,6,43.96,40.9,2.058,82.4,46.25,57.56,48.05,91.31,6,0,34.78,1,0,61.89,14.64,38.97,43,14,51.49,28.18,31.92,32.78,37.9,27.97,25.32,13.84
Thailand,East Asia,Upper-middle income,THB,70000000,Thai,2023,58.7,46.9,40.19,36.05,31.58,53.0,32.14,37.69,18.86,26.66,50.3,5.33,6.53,4.21,-2.31,110,177.67,1,40.01,28.3,16.89,0,0,0,86.19,34.99,11,0,15.21,5,45.75,38.14,1.512,73.1,45.04,52.21,37.12,88.11,18,0,27.67,1,0,55.31,18.88,49.49,118,40,27.49,23.8,48.81,46.06,35.01,19.21,20.02,12.96
Thailand,East Asia,Upper-middle income,THB,70000000,Thai,2024,69.91,56.04,50.61,46.32,29.3,57.37,31.04,21.11,25.32,22.44,108.61,9.18,6.45,4.48,-1.97,157,394.5,1,35.19,37.49,26.81,1,1,0,76.84,27.27,5,0,11.91,3,46.93,43.02,0.94,38.8,62.47,57.8,43.42,66.93,30,1,35.02,1,0,49.83,32.78,63.11,41,23,17.65,37.77,53.33,56.42,52.86,31.17,15.78,15.39
Thailand,East Asia,Upper-middle income,THB,70000000,Thai,2025,72.48,48.12,54.22,46.23,35.02,61.99,37.28,43.57,43.05,33.14,156.31,12.62,5.44,2.78,-2.66,214,440.49,1,32.82,42.23,61.48,1,0,0,63.22,34.99,13,1,4.85,7,42.98,38.73,8.528,168.6,62.24,53.3,41.27,92.9,29,0,22.23,0,1,56.09,9.54,54.97,89,58,39.19,51.2,43.48,46.9,49.77,46.88,17.08,17.94
Vietnam,East Asia,Lower-middle income,VND,97000000,Vietnamese,2022,31.01,19.27,26.88,20.38,12.82,23.34,19.79,18.81,15.94,13.91,48.1,2.97,2.72,1.03,-1.69,89,97.69,0,15.06,39.54,14.91,0,0,0,40.95,1.29,5,0,7.63,5,48.09,38.56,0.433,96.0,19.87,26.24,73.39,88.89,11,0,5.0,0,1,51.43,12.82,74.24,31,15,12.51,18.56,18.61,22.15,23.0,9.92,8.71,7.05
Vietnam,East Asia,Lower-middle income,VND,97000000,Vietnamese,2023,35.14,26.03,27.94,18.91,17.5,26.23,16.64,15.62,16.34,17.4,83.95,3.24,3.95,0.74,-3.21,60,58.37,1,29.95,14.47,42.06,0,0,0,47.05,7.38,6,0,7.37,6,50.26,46.26,1.442,97.8,21.65,23.94,67.7,90.22,42,0,24.82,0,1,44.66,4.99,78.8,55,4,13.47,20.77,25.99,23.17,25.53,20.72,11.43,7.77
Vietnam,East Asia,Lower-middle income,VND,97000000,Vietnamese,2024,39.36,25.3,29.9,18.76,11.78,36.42,18.83,16.89,19.14,14.76,54.19,8.02,4.94,1.53,-3.41,118,80.6,1,33.86,37.98,12.7,0,0,0,43.15,7.14,5,1,11.41,2,49.33,48.02,1.128,91.1,24.54,26.52,68.76,66.41,40,1,35.61,0,1,59.05,0.0,63.66,17,14,17.82,28.08,25.06,34.41,22.51,21.08,14.68,11.41
Vietnam,East Asia,Lower-middle income,VND,97000000,Vietnamese,2025,39.8,27.66,32.45,18.09,11.85,30.07,29.29,16.85,11.8,19.1,92.06,4.44,2.59,1.99,-0.6,49,48.7,1,27.59,33.69,9.95,0,0,0,39.52,13.91,5,0,6.5,0,49.56,42.56,4.206,121.4,28.76,24.23,72.19,95.0,51,0,46.12,0,1,44.33,0.25,73.5,48,17,31.3,21.61,27.34,34.13,31.97,19.38,16.45,9.68
Philippines,East Asia,Lower-middle income,PHP,115000000,Filipino/English,2022,28.64,16.29,19.8,18.58,6.57,24.89,12.25,18.45,16.6,11.82,71.1,6.7,3.83,1.4,-2.43,82,71.4,0,31.04,40.3,24.5,0,0,0,27.24,19.09,1,1,7.74,5,19.76,26.22,2.731,66.1,22.25,53.0,49.2,82.59,49,0,9.18,1,0,81.66,1.4,70.43,63,14,9.23,12.46,18.45,20.63,21.51,13.16,10.27,10.37
Philippines,East Asia,Lower-middle income,PHP,115000000,Filipino/English,2023,31.78,25.93,29.86,18.88,16.11,24.71,19.93,17.2,10.06,14.6,46.02,3.92,1.83,2.33,0.5,109,125.33,1,23.65,18.93,21.7,0,0,0,60.52,0.0,0,0,6.11,1,20.35,25.6,2.009,22.5,27.7,57.29,45.01,95.0,17,0,7.59,0,1,83.18,9.72,73.5,34,19,24.58,20.39,16.68,20.06,22.36,19.81,6.07,8.09
Philippines,East Asia,Lower-middle income,PHP,115000000,Filipino/English,2024,37.74,21.56,29.87,25.26,9.27,33.42,21.85,15.69,13.14,8.91,43.68,3.41,2.69,3.49,0.79,121,152.91,1,23.1,27.26,30.16,0,0,0,43.03,23.81,5,1,3.86,4,21.87,18.95,2.359,63.4,22.8,51.12,49.1,70.88,93,1,7.8,0,1,69.03,15.49,74.22,76,18,18.37,20.65,20.45,29.32,32.03,17.75,18.05,8.83
Philippines,East Asia,Lower-middle income,PHP,115000000,Filipino/English,2025,38.71,25.9,31.2,26.94,12.5,36.47,19.19,12.57,11.32,12.4,57.02,4.78,5.11,3.02,-2.09,119,136.33,1,16.43,27.74,2.81,0,1,0,25.41,21.81,11,0,9.99,1,22.36,33.58,1.803,119.2,32.62,51.4,49.58,95.0,20,0,27.18,1,1,78.93,15.43,68.94,70,9,42.02,28.02,31.3,28.61,34.04,13.58,15.1,10.24
Pakistan,South Asia,Lower-middle income,PKR,231000000,Urdu,2022,23.46,15.34,17.36,11.54,10.14,17.88,13.82,11.26,5.89,4.12,77.47,2.52,2.37,0.64,-1.72,113,61.17,0,20.83,26.07,15.4,0,0,0,100.77,6.87,11,1,7.89,1,20.44,25.67,2.726,122.4,15.08,48.92,55.84,95.0,43,0,26.7,0,1,79.95,11.11,65.36,114,33,32.45,10.48,14.63,19.88,14.03,6.77,5.75,7.18
Pakistan,South Asia,Lower-middle income,PKR,231000000,Urdu,2023,26.43,17.47,22.09,12.53,12.48,22.38,13.49,9.12,13.93,12.72,160.38,3.73,2.3,1.79,-0.51,51,68.47,1,31.6,26.61,33.7,0,0,0,110.96,0.0,10,0,0.0,9,18.91,24.5,3.458,90.1,17.5,47.69,50.68,83.67,133,0,17.0,0,1,89.98,12.48,75.72,155,100,34.96,10.73,17.6,18.56,18.7,15.21,11.75,8.15
Pakistan,South Asia,Lower-middle income,PKR,231000000,Urdu,2024,29.95,18.22,22.57,15.85,11.57,27.89,17.67,19.44,15.99,13.82,80.8,2.35,3.29,1.75,-1.54,148,91.48,1,38.85,11.8,24.11,1,1,0,164.51,5.41,16,0,13.82,11,20.12,19.01,4.44,77.0,25.68,44.52,56.55,95.0,7,1,27.5,1,1,82.44,1.09,74.36,82,88,8.04,13.62,15.22,20.41,23.79,12.09,14.24,6.88
Pakistan,South Asia,Lower-middle income,PKR,231000000,Urdu,2025,33.83,23.7,26.2,13.6,13.75,25.08,22.65,20.44,17.02,10.32,97.71,6.1,4.15,1.23,-2.92,76,39.3,1,40.12,25.7,1.27,1,0,1,132.73,0.0,10,1,0.0,8,19.91,5.0,1.471,99.1,23.94,37.15,60.78,67.35,233,0,39.57,0,1,89.22,11.04,76.16,8,31,43.68,24.71,24.42,24.46,20.99,13.8,16.82,9.58
Bangladesh,South Asia,Lower-middle income,BDT,170000000,Bengali,2022,18.7,15.29,15.98,12.17,9.95,14.57,11.94,8.81,9.55,7.51,28.21,2.61,2.55,1.59,-0.96,55,80.93,0,7.12,24.99,5.31,0,0,0,96.59,16.08,5,1,6.98,7,32.26,22.4,1.89,59.1,16.18,43.14,55.31,91.91,20,0,28.77,1,0,58.47,10.02,80.31,44,12,25.87,10.74,11.89,16.03,13.66,7.8,3.16,6.33
Bangladesh,South Asia,Lower-middle income,BDT,170000000,Bengali,2023,22.0,15.5,15.96,14.84,4.75,17.29,9.83,12.53,11.78,9.83,55.94,3.17,1.72,1.01,-0.7,123,118.98,0,19.8,31.53,26.51,0,0,0,9.18,11.5,4,1,4.99,9,38.36,38.76,2.358,65.1,14.54,53.02,40.09,95.0,51,0,23.24,0,1,63.18,15.35,67.2,23,33,38.15,11.48,12.48,16.34,12.26,5.69,4.39,8.27
Bangladesh,South Asia,Lower-middle income,BDT,170000000,Bengali,2024,20.11,13.96,16.64,11.73,4.8,15.74,8.38,12.24,8.75,9.49,80.02,2.01,0.7,2.18,1.49,29,23.69,1,31.95,37.2,0.0,1,0,0,121.96,14.84,14,0,3.1,5,33.47,38.5,4.092,40.8,15.12,46.19,55.72,95.0,121,0,29.9,0,1,72.17,11.38,80.24,111,18,41.47,12.15,15.57,17.24,13.3,10.21,3.82,8.2
Bangladesh,South Asia,Lower-middle income,BDT,170000000,Bengali,2025,20.43,17.16,18.99,9.25,6.06,16.16,12.15,10.96,5.84,5.87,113.26,2.9,2.04,1.47,-0.57,131,120.74,1,31.73,22.83,11.76,1,1,1,80.18,19.43,13,0,7.22,6,38.53,42.04,1.934,8.9,16.41,42.28,54.88,84.56,171,0,17.38,0,1,57.77,15.32,72.92,153,17,11.94,13.44,13.72,17.65,14.6,7.03,9.06,7.72
Sri Lanka,South Asia,Lower-middle income,LKR,22000000,Sinhala,2022,18.69,12.75,14.97,9.22,5.9,14.81,10.76,9.05,8.1,8.34,5.92,1.04,1.82,1.16,-0.66,4,4.97,0,18.84,23.75,29.05,0,0,0,11.85,18.52,1,0,13.27,0,37.57,56.49,0.885,1.0,13.4,39.82,63.51,95.0,9,0,20.53,0,1,59.44,6.31,62.54,10,1,31.64,9.52,13.93,16.46,16.44,8.15,6.97,6.97
Sri Lanka,South Asia,Lower-middle income,LKR,22000000,Sinhala,2023,16.63,12.3,14.92,11.02,7.68,13.93,8.85,8.25,6.47,8.17,5.55,1.57,2.01,0.49,-1.52,6,1.89,0,25.87,20.71,27.97,0,0,0,13.53,0.0,1,1,4.29,0,43.25,48.84,1.017,115.9,14.79,39.87,65.43,73.19,2,0,17.43,1,1,58.02,4.68,64.2,18,0,0.0,8.68,11.67,11.44,14.34,8.65,7.44,5.6
Sri Lanka,South Asia,Lower-middle income,LKR,22000000,Sinhala,2024,25.84,18.71,19.56,16.16,12.19,21.97,11.54,8.31,14.13,10.33,6.53,3.87,2.45,2.13,-0.32,13,16.28,0,22.87,17.02,3.46,1,1,0,10.53,5.23,1,0,2.78,1,39.82,28.56,3.971,72.4,18.45,42.64,61.8,78.26,11,0,13.39,0,0,66.47,22.93,82.4,7,10,4.39,19.87,13.01,22.99,22.64,14.97,10.29,7.01
Sri Lanka,South Asia,Lower-middle income,LKR,22000000,Sinhala,2025,22.34,15.92,20.29,8.94,7.67,19.41,13.93,13.32,10.96,6.05,9.43,2.1,3.1,2.04,-1.06,19,11.28,1,24.01,34.5,6.83,0,0,0,11.13,20.01,0,1,0.99,1,45.58,36.56,3.613,40.3,17.63,40.19,72.8,92.59,6,1,18.7,0,1,73.85,12.79,50.37,1,3,35.56,12.49,14.89,15.1,17.19,12.09,10.53,7.86
Nepal,South Asia,Low income,NPR,30000000,Nepali,2022,17.48,14.62,14.58,12.04,3.86,15.6,12.72,8.27,7.92,4.75,8.83,3.82,2.28,1.22,-1.07,6,3.2,0,13.51,10.13,0.0,0,0,0,4.37,0.0,0,1,3.23,0,5.0,5.0,0.657,1.0,15.37,7.82,93.22,72.84,11,0,5.0,0,1,91.07,19.63,90.0,4,0,9.61,13.56,10.36,12.07,12.54,6.71,3.74,4.38
